,Date
0.0,2010-01-04
1.0,2010-01-05
2.0,2010-01-06
3.0,2010-01-07
4.0,2010-01-08
7.0,2010-01-11
8.0,2010-01-12
9.0,2010-01-13
10.0,2010-01-14
11.0,2010-01-15
15.0,2010-01-19
16.0,2010-01-20
17.0,2010-01-21
18.0,2010-01-22
21.0,2010-01-25
22.0,2010-01-26
23.0,2010-01-27
24.0,2010-01-28
25.0,2010-01-29
28.0,2010-02-01
29.0,2010-02-02
30.0,2010-02-03
31.0,2010-02-04
32.0,2010-02-05
35.0,2010-02-08
36.0,2010-02-09
37.0,2010-02-10
38.0,2010-02-11
39.0,2010-02-12
43.0,2010-02-16
44.0,2010-02-17
45.0,2010-02-18
46.0,2010-02-19
49.0,2010-02-22
50.0,2010-02-23
51.0,2010-02-24
52.0,2010-02-25
53.0,2010-02-26
56.0,2010-03-01
57.0,2010-03-02
58.0,2010-03-03
59.0,2010-03-04
60.0,2010-03-05
63.0,2010-03-08
64.0,2010-03-09
65.0,2010-03-10
66.0,2010-03-11
67.0,2010-03-12
70.0,2010-03-15
71.0,2010-03-16
72.0,2010-03-17
73.0,2010-03-18
74.0,2010-03-19
77.0,2010-03-22
78.0,2010-03-23
79.0,2010-03-24
80.0,2010-03-25
81.0,2010-03-26
84.0,2010-03-29
85.0,2010-03-30
86.0,2010-03-31
87.0,2010-04-01
91.0,2010-04-05
92.0,2010-04-06
93.0,2010-04-07
94.0,2010-04-08
95.0,2010-04-09
98.0,2010-04-12
99.0,2010-04-13
100.0,2010-04-14
101.0,2010-04-15
102.0,2010-04-16
105.0,2010-04-19
106.0,2010-04-20
107.0,2010-04-21
108.0,2010-04-22
109.0,2010-04-23
112.0,2010-04-26
113.0,2010-04-27
114.0,2010-04-28
115.0,2010-04-29
116.0,2010-04-30
119.0,2010-05-03
120.0,2010-05-04
121.0,2010-05-05
122.0,2010-05-06
123.0,2010-05-07
126.0,2010-05-10
127.0,2010-05-11
128.0,2010-05-12
129.0,2010-05-13
130.0,2010-05-14
133.0,2010-05-17
134.0,2010-05-18
135.0,2010-05-19
136.0,2010-05-20
137.0,2010-05-21
140.0,2010-05-24
141.0,2010-05-25
142.0,2010-05-26
143.0,2010-05-27
144.0,2010-05-28
148.0,2010-06-01
